Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,127/126,127/126 Count,127/126 Variability [%],128/126,128/126 Count,128/126 Variability [%],129/126,129/126 Count,129/126 Variability [%],130/126,130/126 Count,130/126 Variability [%],131/126,131/126 Count,131/126 Variability [%],Score A2,Coverage A2,# Peptides A2,# PSM A2,Score B2,Coverage B2,# Peptides B2,# PSM B2,Score C2,Coverage C2,# Peptides C2,# PSM C2,# AAs,MW [kDa],calc. pI
P36551,"Coproporphyrinogen-III oxidase, mitochondrial",22.47,4,8,8,24,1.069,2;7;7,15,1.185,2;7;7,19.3,1.137,2;7;7,16.2,1.128,2;7;7,21,1.059,2;7;7,3.7,18.39,11.89,4,5,32.88,22.47,8,9,32.51,22.47,8,10,454,50.1,8.25
P36578,60S ribosomal protein L4,37.7,8,22,22,128,1.21,28;25;25,2.1,1.161,28;25;25,5.2,1.02,28;25;25,4.5,1.067,28;25;25,5.7,1.224,28;25;25,1.8,120.06,34.19,17,49,97.17,30.91,17,41,92.42,29.98,15,38,427,47.7,11.06
P36639,"Isoform p18 of 7,8-dihydro-8-oxoguanine triphosphatase",8.33,4,1,1,2,,,,,,,,,,,,,,,,,,,,4.22,8.33,1,1,3.99,8.33,1,1,156,17.9,5.08
P36871,Isoform 1 of Phosphoglucomutase-1,39.86,3,24,24,193,0.752,36;52;49,7.8,0.72,36;52;49,5.6,0.881,36;52;49,1,0.876,36;52;49,4,0.885,36;52;49,0.4,147.04,39.86,23,53,192.51,34.16,20,70,180.3,36.3,22,70,562,61.4,6.76
P36873,Isoform Gamma-1 of Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,39.01,3,1,13,155,,,,,,,,,,,,,,,,125.42,34.98,12,43,139.19,39.01,13,53,157.11,39.01,13,59,323,37,6.54
P36915,Isoform 1 of Guanine nucleotide-binding protein-like 1,14,8,8,8,17,1.076,4;4;3,1.5,1.176,4;4;3,13.3,1.071,4;4;3,5.3,1.012,4;4;3,10,0.992,4;4;3,2.2,18.09,11.7,6,6,14.99,8.73,5,5,14.12,8.9,5,6,607,68.6,5.8
P36954,DNA-directed RNA polymerase II subunit RPB9,27.2,1,2,2,10,1.267,1;2;2,17.8,1.299,1;2;2,26.1,1.173,1;2;2,18.1,1.443,1;2;2,11.9,1.046,1;2;2,7.7,17.36,27.2,2,4,13.68,18.4,1,3,14.18,18.4,1,3,125,14.5,5.14
P36957,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",27.37,4,13,13,108,0.905,23;19;24,3.1,0.871,23;19;24,5,0.94,23;19;24,6.4,0.884,23;19;24,8.2,0.987,23;19;24,1.5,115.1,24.72,11,36,106.7,26.71,12,33,123.42,24.94,12,39,453,48.7,8.95
P36959,GMP reductase 1,28.41,2,6,10,31,0.506,5;5;4,5.9,0.486,5;5;4,7.6,0.722,5;5;4,8.8,0.669,5;5;4,6.5,0.759,5;5;4,2.3,31.43,28.41,10,14,26.5,15.07,5,10,19.51,13.33,4,7,345,37.4,7.06
P36969,"Isoform Cytoplasmic of Phospholipid hydroperoxide glutathione peroxidase, mitochondrial",54.71,4,10,10,52,0.746,14;11;8,4.3,0.627,14;11;8,3.7,0.743,14;11;8,5,0.924,14;11;8,6.4,0.962,14;11;8,3.7,50.8,54.71,10,18,52,54.71,10,20,38,42.94,7,14,170,19.5,7.9
P37108,Signal recognition particle 14 kDa protein,33.82,4,6,6,45,1.386,7;7;4,16.9,1.474,7;7;4,21.5,1.144,7;7;4,10.9,1.333,7;7;4,23.3,1.09,7;7;4,8.7,19.96,27.21,4,11,25.65,29.41,5,20,17.23,29.41,5,14,136,14.6,10.04
P37198,Nuclear pore glycoprotein p62,7.47,1,3,3,8,0.623,-;4;2,,0.583,-;4;2,4.7,0.609,-;4;2,4.9,0.624,-;4;2,,1.071,-;4;2,3.1,2.52,2.68,1,1,11.51,7.47,3,4,8.07,7.47,3,3,522,53.2,5.31
P37235,Hippocalcin-like protein 1,25.39,6,6,6,42,0.508,5;5;4,18.1,0.465,5;5;4,20.5,0.572,5;5;4,13.5,0.518,5;5;4,7.1,0.884,5;5;4,4.5,34.5,20.73,4,13,36.89,25.39,6,13,40.82,25.39,6,16,193,22.3,5.35
P37802,Transgelin-2,85.43,4,23,23,845,0.534,193;220;221,1.1,0.466,193;220;221,2.2,0.694,193;220;221,0.9,0.716,193;220;221,1,0.776,191;219;220,0.4,618.43,85.43,22,258,697.91,81.41,21,292,626.62,85.43,20,295,199,22.4,8.25
P37837,Transaldolase,42.14,5,18,18,351,1.172,84;80;82,1.1,1.248,84;80;82,1.3,1.181,84;80;82,2.4,1.084,84;80;82,1.1,1.064,84;80;82,0.7,292.85,37.09,16,123,273.69,40.36,17,113,257.86,37.09,16,115,337,37.5,6.81
P37840,Isoform 2-4 of Alpha-synuclein,76.79,6,10,10,149,1.102,36;36;37,3.8,1.05,36;36;37,5.4,1.285,36;36;37,4.4,1.423,36;36;37,4.5,0.849,36;36;37,0.1,143.34,76.79,10,46,152.82,76.79,10,52,149.2,76.79,10,51,112,11.4,8.29
P38117,Isoform 1 of Electron transfer flavoprotein subunit beta,64.71,2,17,17,102,0.922,18;17;15,0.8,0.96,18;17;15,5.7,0.974,18;17;15,2.2,0.914,18;17;15,7,0.958,18;17;15,1.3,104.71,58.43,14,37,98.38,63.14,16,32,102.8,60.39,14,33,255,27.8,8.1
P38159,Heterogeneous nuclear ribonucleoprotein G,62.92,14,29,30,185,1.385,35;44;48,2.7,1.509,35;44;48,3.5,1.193,35;44;48,0.5,1.16,35;44;48,4.5,1.12,35;44;48,1.3,154.43,56.27,26,59,169.79,57.54,25,65,158.85,53.45,22,61,391,42.3,10.05
P38571,Isoform 2 of Lysosomal acid lipase/cholesteryl ester hydrolase,3.21,4,1,1,4,0.773,1;-;-,,0.699,1;-;-,,0.744,1;-;-,,0.728,1;-;-,,0.924,1;-;-,,5.93,3.21,1,2,2.86,3.21,1,1,2.57,3.21,1,1,343,39.1,6.79
P38606,V-type proton ATPase catalytic subunit A,44.73,3,28,28,185,0.867,44;54;49,4.7,0.853,44;54;49,2.7,0.901,44;54;49,2,0.961,44;54;49,4.2,0.923,44;54;49,1.2,195.38,43.76,24,58,201.31,36.47,22,66,184.19,37.12,23,61,617,68.3,5.52
P38646,"Stress-70 protein, mitochondrial",56.26,4,42,43,282,0.983,61;57;55,0.9,0.978,61;57;55,2.8,0.97,61;57;55,1.7,0.925,61;57;55,6,0.996,61;57;55,0.2,287.14,47.86,34,94,286.1,44.92,36,97,260.27,43.15,33,91,679,73.6,6.16
P38919,Eukaryotic initiation factor 4A-III,46.72,1,17,21,115,1.5,20;18;18,5.9,1.389,20;18;18,4,1.262,20;18;18,4.8,1.134,20;18;18,7.8,1.152,20;18;18,2,93.71,37.23,16,38,98.58,37.71,17,40,83.7,36.5,17,37,411,46.8,6.73
P38935,DNA-binding protein SMUBP-2,2.62,1,2,2,2,,,,,,,,,,,,,,,,3.66,1.61,1,1,0,1.01,1,1,,,,,993,109.1,8.97
P39019,40S ribosomal protein S19,64.14,1,16,16,133,1.387,30;26;24,3.7,1.325,30;26;24,7.3,1.149,30;26;24,0.9,1.202,30;26;24,5.8,1.117,30;26;24,1.2,128.35,59.31,15,46,116.51,53.1,12,44,105.4,58.62,13,43,145,16.1,10.32
P39023,60S ribosomal protein L3,52.61,9,27,27,184,1.501,35;36;38,5.5,1.465,35;36;38,4.7,1.205,35;36;38,2.1,1.162,35;36;38,7.3,1.122,35;36;38,2.2,131.03,46.65,23,61,131.94,50.62,25,65,127.13,46.4,23,58,403,46.1,10.18
P39656,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,27.19,2,12,12,76,0.607,14;20;15,5.8,0.573,14;20;15,11.8,0.694,14;20;15,9.4,0.607,14;20;15,12.4,0.936,14;20;15,2.1,64.21,27.19,12,25,65,23.9,11,27,62.19,18.42,9,24,456,50.8,6.55
P39748,Flap endonuclease 1,35.79,1,13,13,36,1.192,7;8;9,3.3,1.112,7;8;9,4.8,0.997,7;8;9,4.8,1.099,7;8;9,7.2,1.219,7;8;9,4.8,36.17,30,8,12,33.21,18.42,7,12,40.26,21.32,7,12,380,42.6,8.62
P39880,Isoform 7 of Homeobox protein cut-like 1,2.15,25,2,3,5,0.974,1;1;-,3.6,0.814,1;1;-,3.4,0.962,1;1;-,,0.862,1;1;-,0.4,1.197,1;1;-,11.4,2.15,0.96,1,1,2.46,0.96,1,1,1.92,2.15,3,3,1351,147.9,5.53
P40121,Macrophage-capping protein,53.16,2,2,17,255,1.786,1;1;1,6.1,1.765,1;1;1,6.6,1.658,1;1;1,7.5,1.213,1;1;1,1.7,1.349,1;1;1,9.6,242.78,51.44,16,87,233.97,51.15,16,80,234.64,51.44,16,88,348,38.5,6.25
P40197,Platelet glycoprotein V,21.61,1,9,9,46,0.422,7;5;7,7.8,0.381,7;5;7,12.6,0.588,7;5;7,7.7,0.574,7;5;7,11.6,0.72,7;5;7,6.2,54.74,17.86,7,16,48.36,21.61,9,14,48.67,21.61,9,16,560,60.9,9.63
P40199,Carcinoembryonic antigen-related cell adhesion molecule 6,6.1,1,1,1,1,2.066,-;1;-,,4.404,-;1;-,,5.496,-;1;-,,5.707,-;1;-,,2.492,-;1;-,,,,,,2.09,6.1,1,1,,,,,344,37.2,5.82
P40222,Alpha-taxilin,1.28,1,1,1,3,,,,,,,,,,,,,,,,2.23,1.28,1,1,2.38,1.28,1,1,0,1.28,1,1,546,61.9,6.52
P40227,T-complex protein 1 subunit zeta,59.51,8,26,30,251,0.913,48;48;46,2.2,0.915,48;48;46,1.8,1.003,48;48;46,0.6,0.9,48;48;46,2.3,0.976,48;48;46,1.3,207.93,56.31,28,86,234.37,52.54,25,87,203.03,57.82,26,78,531,58,6.68
P40306,Proteasome subunit beta type-10,21.25,1,6,6,48,1.436,7;12;13,2.1,1.369,7;12;13,0.9,1.195,7;12;13,5.8,1.024,7;12;13,4.3,1.056,7;12;13,1.9,42.48,21.25,5,14,54.76,21.25,6,17,57.08,21.25,6,17,273,28.9,7.81
P40429,60S ribosomal protein L13a,46.31,6,15,15,107,1.31,19;27;26,4.8,1.22,19;27;26,1.9,1.108,19;27;26,3.1,1.131,19;27;26,3.6,1.152,19;27;26,1.2,73.45,42.86,12,31,86.54,39.9,12,38,79.37,43.35,12,38,203,23.6,10.93
P40616,ADP-ribosylation factor-like protein 1,22.65,3,4,4,5,0.469,2;-;-,,0.375,2;-;-,,0.538,2;-;-,,0.444,2;-;-,,0.939,2;-;-,,6.37,22.65,4,4,2.96,7.18,1,1,,,,,181,20.4,5.72
P40818,Ubiquitin carboxyl-terminal hydrolase 8,1.34,9,1,2,4,1.059,-;-;1,,1.148,-;-;1,,1.122,-;-;1,,1.038,-;-;1,,1.054,-;-;1,,2.1,0.54,1,1,4.9,1.34,2,2,2.39,0.81,1,1,1118,127.4,8.51
P40925,Malate dehydrogenase,50,6,24,24,309,1.075,65;76;67,5.2,0.992,65;76;67,3.9,0.959,65;76;67,4.6,1.033,65;76;67,6.9,0.987,65;76;67,0.2,266.79,49.72,22,99,265.27,48.01,20,105,260.61,46.59,20,105,352,38.6,8
P40926,"Malate dehydrogenase, mitochondrial",62.13,10,22,22,454,1.004,96;97;109,5.1,1.022,96;97;109,6,1.016,96;97;109,3.1,0.931,96;97;109,3.1,0.987,96;97;109,0.9,396.03,58.28,19,144,435.38,60.36,20,151,439.45,62.13,22,159,338,35.5,8.68
P40937,Replication factor C subunit 5,13.53,4,3,3,6,1.165,2;2;2,22.9,1.285,2;2;2,25.5,1.143,2;2;2,19.6,1.248,2;2;2,9.3,1.086,2;2;2,9.6,7.28,7.94,2,2,3.42,8.24,2,2,6.77,10.88,2,2,340,38.5,7.2
P40939,"Trifunctional enzyme subunit alpha, mitochondrial",56.36,2,40,40,419,0.981,90;97;107,0.7,0.947,90;97;107,0.6,0.958,90;97;107,1.7,0.983,90;97;107,4,0.988,90;97;107,0.6,301.22,52.29,34,128,324.43,52.42,35,141,324.19,48.36,33,150,763,82.9,9.04
P41091,Eukaryotic translation initiation factor 2 subunit 3,38.77,4,17,17,80,0.901,20;21;16,4.6,0.852,20;21;16,2.3,0.881,20;21;16,2.8,0.857,20;21;16,7.5,0.998,20;21;16,1.7,52.48,31.36,12,27,68.52,32.42,14,27,63,37.29,15,26,472,51.1,8.4
P41208,Centrin-2,55.81,2,7,7,14,1.237,2;2;5,13.4,1.185,2;2;5,11.2,1.2,2;2;5,5.3,1.122,2;2;5,14.4,1.058,2;2;5,0.8,5.63,11.05,2,2,9.09,29.07,2,3,24.28,38.95,5,9,172,19.7,5
P41214,Isoform 1 of Ligatin,3.77,4,2,2,2,1.054,1;-;-,,1.079,1;-;-,,1.024,1;-;-,,0.948,1;-;-,,1.094,1;-;-,,3.36,3.77,2,2,,,,,,,,,584,64.7,7.65
P41218,Myeloid cell nuclear differentiation antigen,54.55,2,29,29,265,1.485,62;59;50,8.3,1.579,62;59;50,6.5,1.309,62;59;50,4.1,1.502,62;59;50,2.7,1.264,62;59;50,1.1,190.13,46.93,24,84,212.53,52.09,27,95,172.93,52.09,27,86,407,45.8,9.76
P41219,Isoform 1 of Peripherin,9.15,5,1,6,500,1.3,1;1;1,35.1,1.112,1;1;1,39.6,1.141,1;1;1,32.4,1.213,1;1;1,40.3,1.144,1;1;1,15,448.74,9.15,6,168,422.49,9.15,6,166,411.06,9.15,6,166,470,53.6,5.47
P41223,Protein BUD31 homolog,27.08,6,3,3,25,1.376,4;3;4,1.6,1.443,4;3;4,10,1.064,4;3;4,4.1,1.477,4;3;4,10.6,1.132,4;3;4,6.8,17.52,27.08,3,11,11.4,27.08,3,6,11.65,27.08,3,8,144,17,8.82
P41226,Ubiquitin-like modifier-activating enzyme 7,24.01,3,22,22,119,0.634,23;21;24,12,0.565,23;21;24,16.5,0.811,23;21;24,4.9,0.705,23;21;24,6.3,0.807,23;21;24,1,117.81,17.49,16,42,114.34,20.45,17,36,117.53,20.26,18,41,1012,111.6,6.04
P41227,Putative uncharacterized protein NAA10,23.64,10,6,6,20,0.981,4;3;3,15.1,1.014,4;3;3,21.8,1.057,4;3;3,17.4,0.934,4;3;3,18.9,0.927,4;3;3,12.7,19.96,16.82,4,6,18.41,18.18,4,7,16.24,16.82,5,7,220,24.8,5.52
P41240,Tyrosine-protein kinase CSK,61.56,2,25,25,199,0.97,37;42;39,3.9,0.933,37;42;39,4.4,0.99,37;42;39,3.8,0.951,37;42;39,0.4,0.92,37;42;39,1.2,167.57,57.78,21,60,179.82,61.56,24,71,154.52,59.78,23,68,450,50.7,7.06
P41252,"Isoleucyl-tRNA synthetase, cytoplasmic",14.9,18,16,16,43,1.049,7;9;8,4.2,1.051,7;9;8,4.1,1.034,7;9;8,0.9,0.967,7;9;8,7,1.088,7;9;8,3.7,33.34,11.57,11,13,34.87,14.18,14,16,25.39,10.46,11,14,1262,144.4,6.15
P42025,Beta-centractin,30.59,6,3,7,60,0.617,2;3;3,18.1,0.606,2;3;3,26.4,0.72,2;3;3,17.8,0.603,2;3;3,17,0.938,2;3;3,5.2,48.84,30.59,7,18,41.41,22.61,6,19,32.88,21.01,5,23,376,42.3,6.4
P42126,"Isoform 2 of 3,2-trans-enoyl-CoA isomerase, mitochondrial",7.72,2,2,2,7,1.3,3;3;1,14.8,1.32,3;3;1,14.1,1.259,3;3;1,17.7,1.124,3;3;1,13.9,1.058,3;3;1,2.2,9.99,7.72,2,3,10.6,7.72,2,3,3.98,5.26,1,1,285,30.9,8.9
P42166,"Lamina-associated polypeptide 2, isoform alpha",37.75,1,8,20,134,1.134,2;3;1,16.1,1.25,2;3;1,10.3,1.208,2;3;1,5,1.144,2;3;1,8.7,1.093,2;3;1,5.3,179.55,29.11,15,47,145.39,26.08,13,42,149.97,26.95,14,45,694,75.4,7.66
P42167,"Isoform Beta of Lamina-associated polypeptide 2, isoforms beta/gamma",65.2,10,7,26,240,2.112,3;5;7,48.8,2.565,3;5;7,69.3,1.933,3;5;7,52.5,2.172,3;5;7,37.3,1.191,3;5;7,8.4,261.14,65.2,24,80,242.63,61.89,22,79,247.68,61.89,23,81,454,50.6,9.38
P42167,"Isoform Gamma of Lamina-associated polypeptide 2, isoforms beta/gamma",61.74,9,3,22,213,1.633,5;5;7,40.9,1.924,5;5;7,52.6,1.395,5;5;7,31.7,1.688,5;5;7,59.7,1.115,5;5;7,4.1,246.52,61.74,20,71,220.93,57.39,18,70,223.92,57.39,20,72,345,38.7,9.16
P42224,Isoform Alpha of Signal transducer and activator of transcription 1-alpha/beta,36.93,9,23,23,134,1.212,24;24;25,5.5,1.235,24;24;25,4.1,1.168,24;24;25,0.7,1.04,24;24;25,2.1,1.108,24;24;25,1.7,107.73,26.67,16,39,134.18,34.67,21,51,105.11,34.8,21,44,750,87.3,6.05
P42226,Isoform 1 of Signal transducer and activator of transcription 6,12.4,4,8,9,24,1.001,4;6;5,8.3,0.993,4;6;5,0.8,0.945,4;6;5,3.3,0.9,4;6;5,5.3,1.027,4;6;5,4.8,25.36,9.33,6,9,24.11,9.8,7,9,17.51,7.67,5,6,847,94.1,6.23
P42229,Signal transducer and activator of transcription 5A,25.82,4,4,21,106,0.843,1;2;3,19.3,0.753,1;2;3,24.3,0.791,1;2;3,22.2,0.917,1;2;3,4.7,0.953,1;2;3,3.9,79.18,22.42,19,31,88.04,20.91,18,38,89.57,20.91,18,37,794,90.6,6.39
P42285,Superkiller viralicidic activity 2-like 2,12.86,6,15,16,39,1.293,7;7;4,13.9,1.294,7;7;4,2.6,1.29,7;7;4,13.4,1.136,7;7;4,2.1,1.115,7;7;4,2.3,34.47,8.16,9,13,40.39,10.46,13,15,29.69,8.64,9,11,1042,117.7,6.52
P42330,Aldo-keto reductase family 1 member C3,12.38,13,3,3,6,1.082,2;2;1,12.5,1.229,2;2;1,5.8,1.242,2;2;1,20.4,1.106,2;2;1,12.1,1.189,2;2;1,11.6,6.07,8.36,2,2,6.51,6.19,1,3,0,4.02,1,1,323,36.8,7.94
P42331,rho GTPase-activating protein 25 isoform d,41.58,11,23,24,83,1.251,19;15;20,6.4,1.329,19;15;20,6.4,1.17,19;15;20,3.2,1.13,19;15;20,8.8,1.101,19;15;20,1.3,78.67,36.96,22,29,65.97,36.47,21,28,72.24,33.33,18,26,606,69,6.52
P42336,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",1.69,1,1,1,1,0.708,-;1;-,,0.678,-;1;-,,0.693,-;1;-,,0.594,-;1;-,,1.037,-;1;-,,,,,,2.98,1.69,1,1,,,,,1068,124.2,7.23
P42338,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta isoform",5.98,5,5,5,7,0.733,1;1;1,21.7,0.716,1;1;1,29.2,0.93,1;1;1,32.6,0.954,1;1;1,43.2,0.891,1;1;1,5.1,0,1.03,1,1,6.01,3.46,3,3,7.04,3.55,3,3,1070,122.7,7.09
P42345,Serine/threonine-protein kinase mTOR,1.8,2,3,3,7,0.73,2;1;-,2.2,0.72,2;1;-,4.5,0.828,2;1;-,,0.915,2;1;-,4.2,0.952,2;1;-,1.5,11.06,1.8,3,4,3.86,1.14,2,3,,,,,2549,288.7,7.17
P42356,Isoform 1 of Phosphatidylinositol 4-kinase alpha,3.13,3,5,5,9,0.852,-;2;2,,0.907,-;2;2,11.1,0.914,-;2;2,3.5,1.025,-;2;2,,0.907,-;2;2,4.2,3.68,0.44,1,1,9.55,1.66,2,3,11.02,2.69,4,5,2044,231.2,6.87
P42566,Isoform 1 of Epidermal growth factor receptor substrate 15,25.33,5,19,19,63,0.7,14;18;17,2.7,0.653,14;18;17,3.2,0.734,14;18;17,5.8,0.856,14;18;17,11.1,0.89,14;18;17,2.2,73.14,15.07,13,21,73.14,20.31,15,23,55.95,19.87,13,19,896,98.6,4.64
P42574,Caspase-3,42.24,6,10,11,47,0.813,6;10;9,10.9,0.766,6;10;9,19.2,0.912,6;10;9,23.6,1.064,6;10;9,19.1,0.844,6;10;9,3.4,41.23,29.96,9,17,40.82,26.35,8,14,38.49,29.24,8,16,277,31.6,6.54
P42680,Tyrosine-protein kinase Tec,4.28,4,2,3,7,0.445,1;1;2,61.2,0.335,1;1;2,31.7,0.576,1;1;2,38.5,0.611,1;1;2,41.6,0.816,1;1;2,16.2,2.2,2.22,1,1,2.89,3.17,2,2,4.18,4.28,3,4,631,73.5,8.44
P42694,HELZ protein,0.62,1,1,1,1,,,,,,,,,,,,,,,,,,,,0,0.62,1,1,,,,,1943,219,7.42
P42704,"Leucine-rich PPR motif-containing protein, mitochondrial",25.11,5,27,27,77,0.899,17;14;15,7.7,0.887,17;14;15,3.9,0.927,17;14;15,3,0.836,17;14;15,6.7,1.057,17;14;15,1.5,67.77,17.93,19,27,48.67,15.06,16,24,59.03,17.43,19,26,1394,157.8,6.13
P42765,"3-ketoacyl-CoA thiolase, mitochondrial",59.19,5,23,23,126,1.275,23;28;28,5.7,1.256,23;28;28,8.9,1.084,23;28;28,3.7,1.112,23;28;28,3.4,1.093,23;28;28,3.2,107.92,53.15,18,35,133.66,47.86,16,46,122,48.36,17,45,397,41.9,8.09
P42766,60S ribosomal protein L35,42.28,3,7,8,81,1.519,20;23;18,2.1,1.618,20;23;18,3.5,1.396,20;23;18,2.2,1.4,20;23;18,6.5,1.155,20;23;18,2.2,56.69,42.28,8,24,75.04,42.28,8,30,62.01,42.28,8,27,123,14.5,11.05
P42768,Wiskott-Aldrich syndrome protein,37.85,4,18,18,104,1.071,20;23;18,1.4,1.148,20;23;18,2.2,1.106,20;23;18,1.6,1.058,20;23;18,2.4,0.987,20;23;18,2.6,108.13,29.68,12,34,123.02,33.27,16,41,86.25,29.28,12,29,502,52.9,6.64
P42785,Lysosomal Pro-X carboxypeptidase,15.73,2,7,7,32,1.161,5;6;9,11.5,1.344,5;6;9,11.1,1.132,5;6;9,2.4,1.049,5;6;9,2.4,1.039,5;6;9,4.6,26.39,12.7,5,9,32.2,13.91,6,9,41.3,15.73,7,14,496,55.8,7.21
P42858,huntingtin,5.18,1,10,10,20,0.862,1;5;3,11.8,0.795,1;5;3,17.3,0.973,1;5;3,11.7,0.86,1;5;3,15.7,0.933,1;5;3,6.1,18.79,3.05,6,7,27.11,4.1,8,8,16.19,2.26,4,5,3144,347.6,6.2
P42892,Isoform C of Endothelin-converting enzyme 1,16.98,5,11,11,30,0.645,7;6;4,6.1,0.528,7;6;4,7.5,0.698,7;6;4,5.9,0.859,7;6;4,11.5,0.822,7;6;4,5.5,26.79,11.27,8,12,19.92,10.48,7,9,16.25,10.74,7,9,754,85.5,5.8
P42898,Methylenetetrahydrofolate reductase,10.82,2,4,4,9,0.649,2;1;1,12.7,0.507,2;1;1,21.7,0.648,2;1;1,12.1,0.564,2;1;1,19.9,0.98,2;1;1,3.3,6.73,5.18,2,2,8.37,7.16,3,3,9.24,10.82,4,4,656,74.5,5.34
P43034,Isoform 1 of Platelet-activating factor acetylhydrolase IB subunit alpha,51.71,5,16,17,94,0.811,12;16;20,1.9,0.72,12;16;20,1.3,0.806,12;16;20,1.9,0.706,12;16;20,5.1,0.939,12;16;20,2.3,91.14,34.63,12,31,89.98,40.73,14,30,96.33,49.76,15,33,410,46.6,7.37
P43115,Isoform EP3B of Prostaglandin E2 receptor EP3 subtype,3.56,14,1,1,1,,,,,,,,,,,,,,,,,,,,0,3.56,1,1,,,,,365,40.5,9.67
P43119,Prostacyclin receptor,2.07,1,1,1,5,0.891,-;2;2,,0.934,-;2;2,1.2,1.23,-;2;2,4.3,1.217,-;2;2,,0.781,-;2;2,5,2.68,2.07,1,1,5.36,2.07,1,2,5.63,2.07,1,2,386,40.9,8.48
P43155,Isoform 2 of Carnitine O-acetyltransferase,7.6,6,5,5,9,0.761,1;1;3,7.1,0.821,1;1;3,6.2,0.967,1;1;3,5.8,1.018,1;1;3,3.2,0.935,1;1;3,4.5,4.62,2.48,1,1,6.58,5.12,3,3,11.81,6.45,4,5,605,68.5,8.09
P43243,Matrin-3,34.12,26,31,31,116,1.287,18;27;30,4.6,1.279,18;27;30,6.2,1.1,18;27;30,3.9,1.052,18;27;30,6.2,1.128,18;27;30,1.7,82.03,22.79,20,32,101.64,28.1,23,39,112.12,31.52,27,45,847,94.6,6.25
P43250,G protein-coupled receptor kinase 6 isoform C,37.86,14,16,17,50,0.897,12;11;8,3.6,0.951,12;11;8,4.2,0.922,12;11;8,1.1,0.907,12;11;8,3.6,0.905,12;11;8,3.2,59.51,37.86,17,22,45.68,26.43,12,15,31.45,24.64,12,13,560,64.3,8.44
P43304,"Isoform 1 of Glycerol-3-phosphate dehydrogenase, mitochondrial",42.5,2,32,32,155,0.642,35;29;32,14.6,0.618,35;29;32,19.7,0.791,35;29;32,8.6,0.749,35;29;32,14.4,0.835,35;29;32,4.1,143.84,39.48,25,51,141.08,30.54,25,52,146.07,39.06,29,52,727,80.8,7.69
P43307,Isoform 1 of Translocon-associated protein subunit alpha,18.18,7,3,3,23,0.445,7;7;5,26.2,0.376,7;7;5,7.5,0.544,7;7;5,15.6,0.476,7;7;5,16.4,1.094,7;7;5,1.6,24.91,18.18,3,8,19.03,18.18,3,8,21.92,9.09,2,7,286,32.2,4.49
P43353,Isoform 2 of Aldehyde dehydrogenase family 3 member B1,5.8,13,1,2,3,,,,,,,,,,,,,,,,0,2.78,1,1,,,,,3.14,5.8,2,2,431,47.7,7.81
P43403,Isoform 1 of Tyrosine-protein kinase ZAP-70,35.06,4,20,21,69,1.152,11;12;11,6.4,1.071,11;12;11,9.6,0.957,11;12;11,2.2,0.922,11;12;11,4.4,1.031,11;12;11,2.1,73.51,30.69,17,26,61.6,24.88,15,24,54.84,27.3,15,19,619,69.8,7.69
P43405,Isoform Short of Tyrosine-protein kinase SYK,49.02,4,26,27,134,0.95,27;33;29,6.6,0.939,27;33;29,1.7,1.066,27;33;29,1.9,0.968,27;33;29,0.7,0.915,27;33;29,2,115.36,44.12,22,41,124.88,44.77,24,46,121.9,48.86,25,47,612,69.5,7.56
P43487,Ran-specific GTPase-activating protein,51.24,8,1,11,81,1.807,1;4;3,23.5,1.752,1;4;3,17,1.451,1;4;3,2.9,1.936,1;4;3,33.2,1.097,1;4;3,2.6,72.14,33.33,7,25,78.08,46.77,8,30,56.21,37.81,8,26,201,23.3,5.29
P43686,Isoform 1 of 26S protease regulatory subunit 6B,46.17,3,17,17,92,0.978,21;27;23,5.4,1.024,21;27;23,6.1,0.996,21;27;23,2.2,0.931,21;27;23,3.1,1.02,21;27;23,0.8,90.46,43.78,13,29,103.85,39.47,13,33,81.1,41.63,13,30,418,47.3,5.21
P43897,"Isoform 1 of Elongation factor Ts, mitochondrial",23.08,7,6,6,14,1.013,2;3;4,22.1,1.024,2;3;4,18.5,0.934,2;3;4,13.3,1.056,2;3;4,18.2,1.029,2;3;4,4.1,3.96,13.54,3,3,14.98,17.85,4,5,16.17,19.08,5,6,325,35.4,8.38
P45880,Isoform 2 of Voltage-dependent anion-selective channel protein 2,53.71,10,14,15,278,0.899,76;77;71,0.2,0.891,76;77;71,2.1,0.884,76;77;71,0.4,1.058,76;77;71,0.6,0.957,76;77;71,0.9,245.73,53.71,15,89,242.9,53.71,15,96,240.55,53.71,15,93,283,30.4,7.2
P45954,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",7.18,2,3,3,6,0.993,2;-;1,0.3,1.038,2;-;1,,1.046,2;-;1,5.9,0.987,2;-;1,7.3,0.924,2;-;1,,7.77,7.18,3,3,2.83,3.01,1,1,5.02,5.56,2,2,432,47.5,6.99
