Compound,Number Passed,042111_08_01(raw),042111_08_02(raw),042111_08_03(raw),042111_09_01(raw),042111_09_02(raw),042111_09_03(raw),042111_10_01(raw),042111_10_02(raw),042111_10_03(raw),042111_11_01(raw),042111_11_02(raw),042111_11_03(raw),042111_12_01(raw),042111_12_02(raw),042111_12_03(raw),042111_13_01(raw),042111_13_02(raw),042111_13_03(raw),042111_14_01(raw),042111_14_02(raw),042111_14_03(raw),042111_15_01(raw),042111_15_02(raw),042111_15_03(raw),042111_16_01(raw),042111_16_02(raw),042111_16_03(raw),042111_17_01(raw),042111_17_02(raw),042111_17_03(raw),042111_19_01(raw),042111_19_02(raw),042111_19_03(raw),042111_20_01(raw),042111_20_02(raw),042111_20_03(raw),Annotations,Mass,Retention Time,CAS Number
488.2383@11.5761385,1,47846,35368,24836,35620,28682,30911,43821,34155,27648,30031,26177,25134,31273,29534,26800,24674,24015,20956,35398,28529,27006,41706,37184,34933,25266,23764,23765,19313,16216,18991,29771,19919,23181,26945,27788,24768,,488.2383,11.5761385,
329.2389@11.608471,1,1416586,1376174,937357,1482558,1199011,991224,1213145,1099416,1346684,673466,686864,710460,802440,820672,771607,1232535,1352028,1362326,1107352,865837,801901,899466,760230,740967,1123048,981209,988021,707647,770435,659422,1396506,1150220,1091878,1179502,1292594,1256890,,329.2389,11.608471,
280.165@11.619699,1,99250,84775,72815,122445,120292,112043,129461,130288,93915,129522,125589,102167,141325,165647,134930,1,271505,230346,71601,62705,1,163722,125453,123594,83251,78655,80590,109329,126239,1,123154,109626,107253,231621,222147,213104,,280.165,11.619699,
386.1862@11.624001,1,46267,36874,25529,21051,31870,34587,35715,26543,23689,29579,1,32839,29261,24685,29212,31791,21691,25541,42166,25305,1,25714,29510,28213,31349,31332,26045,1,23420,21889,34677,50305,1,31440,32434,25643,,386.1862,11.624001,
"12alpha-Hydroxy-3-oxochola-4,6-dien-24-oic Acid",1,134255,109182,75862,209793,175936,156178,187374,159088,151725,164538,141706,126802,171007,150908,145845,188927,159360,166200,124405,99210,90416,168831,138659,134500,155754,126815,127997,85139,74843,80582,142921,120729,117474,127515,143717,130383,"12alpha-Hydroxy-3-oxochola-4,6-dien-24-oic Acid [ C24 H34 O4, db=85.79, overall=42.90, Lipid ID=, KEGG ID= ]",386.2455,11.630222,
598.2424@11.630831,1,100704,111183,100557,25874,46549,1,81748,73137,68613,47448,46854,48509,66444,45975,77640,48307,54044,50157,53095,48539,73359,60032,35493,48277,47106,28197,49584,77549,61855,34808,56503,50045,52947,59894,51742,60820,,598.2424,11.630831,
Dipalmitoylphosphatidylserine,1,65301,67814,47530,61890,66252,55367,115476,105291,121192,104051,103420,99055,87023,87141,117374,122280,87079,103009,32649,1,29667,45144,34057,38317,33834,1,30601,1,1,1,36012,33936,38421,29243,30935,34588,"Dipalmitoylphosphatidylserine [ C38 H74 N O10 P, db=54.29, overall=27.15, HMP ID=HMDB00614, KEGG ID= ]",735.4978,11.632807,
370.3555@11.634998,1,26723,51053,51510,28011,56129,47459,35281,52679,49514,37663,51147,49054,39073,54665,45018,41866,48525,45727,44291,51642,48892,46177,53236,44288,44915,44798,47596,50288,47920,47121,47392,50632,48213,51127,47429,39339,,370.3555,11.634998,
468.2595@11.6322565,1,35630,34065,22884,58962,50630,47046,47078,45913,1,1,1,1,48580,43637,39651,45824,50731,49583,33993,30161,1,57754,43758,43151,50376,32867,41625,22861,21249,21038,43974,40250,40189,38175,41060,36784,,468.2595,11.6322565,
740.4531@11.631467,1,105977,98279,69157,1,85195,68668,142404,138693,136274,140680,1,132864,125084,1,103653,1,122280,1,36397,31811,30961,60108,40619,43068,43967,35102,39316,27204,1,30063,51378,43959,43028,41766,39956,41122,,740.4531,11.631467,
"3,5-Pyridinedicarboxylic acid, 2,6-dimethyl-4-(3-nitrophenyl)-, methyl 2-[methyl(phenylmethyl)amino]",1,206751,1248963,834481,62542,148558,106327,121774,119549,116217,63199,73655,78774,757095,163348,876435,93703,63997,109707,112583,99377,454842,454253,23430,121789,62646,22221,144241,594248,86478,163723,51556,72621,102087,105074,64861,130245,"3,5-Pyridinedicarboxylic acid, 2,6-dimethyl-4-(3-nitrophenyl)-, methyl 2-[methyl(phenylmethyl)amino] [ C26 H27 N3 O6, db=85.23, overall=42.62, KEGG ID=, CAS ID=59875-58-0 ]",477.1897,11.660638,59875-58-0
Biliverdin IX + 11.661,1,94684,70264,93415,53496,67510,54334,93309,64779,60660,52625,51161,55344,23859,27057,33085,15047,26865,22119,42388,48212,26889,54003,37868,35024,36296,20204,36139,27415,45120,40834,45252,31947,46299,22675,40872,30591,"Biliverdin IX [ C33 H34 N4 O6, db=87.31, overall=43.66, HMP ID=HMDB02309, KEGG ID=C00500, CAS ID= 114-25-0 ]",582.2477,11.661, 114-25-0
"13,14-dihydro-15-keto-PGF2alpha",1,34190,35833,27549,27474,27426,31170,1,27900,26681,1,25627,29650,31339,1,30262,1,26225,14653,24348,25309,1,18324,29382,27574,23446,25910,1,16276,24856,25224,27430,24025,1,21309,26221,22253,"13,14-dihydro-15-keto-PGF2alpha [ C20 H34 O5, db=42.26, overall=21.13, Lipid ID=LMFA03010027, KEGG ID= ]",354.2379,11.661621,
Medroxyprogesterone glucuronide,1,58061,48605,31635,62226,46574,39025,52805,45578,40481,51645,42070,37523,48698,39336,38220,42006,36618,72679,43507,34483,32522,51967,41145,37265,42874,34775,37711,28083,29083,26277,45615,38781,36401,46683,49595,42211,"Medroxyprogesterone glucuronide [ C28 H40 O9, db=48.42, overall=24.21, KEGG ID=, CAS ID= ]",520.2644,11.689971,
485.356@11.693,1,93410,88501,67612,78114,85801,68342,137346,139044,134353,118594,125518,115063,98403,105655,131307,122960,100688,112030,51246,44452,51618,75094,55799,60947,54926,43708,50157,36177,1,38731,62282,53809,67957,47251,58878,1,,485.356,11.693,
"(1S,2S)-3-oxo-2-pentyl-cyclopentanebutanoic acid",1,82099,1,80904,94952,113405,73511,104381,88184,83697,96073,95648,86450,80941,72905,58351,162208,68471,131656,92443,79970,1,112117,74691,108169,51907,65631,1,58896,77363,83739,74231,73081,62823,78314,1,139057,"(1S,2S)-3-oxo-2-pentyl-cyclopentanebutanoic acid [ C14 H24 O3, db=65.39, overall=32.69, Lipid ID=, KEGG ID= ]",240.1703,11.670438,
GPA(17:1(9Z)/0:0),1,29412,1,1,64286,1,1,23726,1,23294,1,1,1,93161,52400,119188,75146,48887,53231,54071,1,19771,372236,265557,217100,89951,55590,21601,42395,25573,1,23226,16055,1,62626,36299,33304,"GPA(17:1(9Z)/0:0) [ C20 H42 N O7 P, db=58.14, overall=29.07, Lipid ID=LMGP10050002, KEGG ID= ]",439.2696,11.698639,
Met His Lys + 11.722752,1,116520,209384,131994,89393,134324,83041,78349,63382,51514,94455,70298,80511,54395,218607,368284,178783,118861,201245,49653,117961,114465,147198,76319,72135,51980,117549,80524,151062,80627,109523,224630,174960,140371,200970,120509,123526,"Met His Lys [ C17 H30 N6 O4 S, db=70.02, overall=35.01 ]",414.2039,11.722752,
522.2801@11.738907,1,54241,39442,1,60629,50981,46935,63824,51373,53545,62024,41986,40899,45162,38826,38328,32822,37088,1,35778,34465,36063,43416,35326,1,1,25188,27396,25663,27143,23401,52464,42419,50066,59213,62762,54480,,522.2801,11.738907,
262.1541@11.742794,1,60222,43863,38202,48912,47396,42850,53379,49382,47789,55639,45684,42422,33644,25105,25694,24202,25295,24705,37029,33521,28987,35830,29580,22408,28858,23580,22558,47347,51665,39248,1,153541,1,23031,26429,23666,,262.1541,11.742794,
272.2133@11.744,1,72110,49685,50665,70490,63070,46199,54151,53127,57542,56167,54797,61944,55737,51747,39905,65808,53064,52926,61027,44840,33360,58765,51198,43314,54723,44055,41227,38638,1,39644,64722,57149,66334,58550,62291,46719,,272.2133,11.744,
588.2251@11.747442,1,21078,43343,33722,29594,46359,37974,27992,38117,34401,23185,33764,28141,28654,40263,25756,33367,40604,36237,24390,31374,26930,44945,39724,37113,39263,35176,30276,28986,36162,26038,47963,44269,39752,42383,37876,39094,,588.2251,11.747442,
528.1907@11.747131,1,23067,22399,16452,27829,25239,18718,19186,22381,21539,16634,1,18361,1,21346,17454,18530,21054,21147,16044,17826,17015,25257,17536,20728,19562,1,1,14526,1,1,25340,19186,21235,19489,18940,22747,,528.1907,11.747131,
371.3033@11.768027,1,69732,106056,66807,352582,62509,55604,76933,60201,151410,44000,35005,21995,261159,194270,194532,339922,238708,270478,175909,51012,68276,446887,372293,406563,282344,310921,135496,226587,145953,106239,216776,213042,58485,239491,254249,232134,,371.3033,11.768027,
D-Urobilinogen,1,79768,23071,20651,1,36692,30437,669803,230987,640622,289778,876692,261527,41011,54193,52716,63202,69111,59501,102347,133068,71106,1,24731,1,1,1,1,1,1,1,81863,66906,78767,1,25654,24251,"D-Urobilinogen [ C33 H42 N4 O6, db=61.46, overall=30.73, HMP ID=HMDB04158, KEGG ID= ]",590.3101,11.752577,
"Mefenamic acid Metabolite (b-D-Glucopyranuronic acid, 1-[2-[(2,3-dimethylphenyl)amino]benzoate])",1,21602,22215,19403,24130,22685,17441,22373,19859,15376,15692,16268,11579,15604,16725,1,17194,1,1,22791,19211,13158,1,1,1,14798,1,12398,12352,12119,1,18971,16767,1,15798,13404,12199,"Mefenamic acid Metabolite (b-D-Glucopyranuronic acid, 1-[2-[(2,3-dimethylphenyl)amino]benzoate]) [ C21 H23 N O8, db=50.07, overall=25.03, KEGG ID=, CAS ID=102623-18-7 ]",417.1435,11.795814,102623-18-7
282.1151@11.797542,1,91871,63464,46894,88884,77330,62910,86298,65854,54057,55408,48193,44246,52416,48728,49215,53481,49947,45583,82745,80086,58293,61437,48423,39964,53429,43896,40395,22540,33675,26689,64078,1,49584,49507,49751,41397,,282.1151,11.797542,
342.145@11.797485,1,71450,64665,49306,69626,65158,54914,60748,56199,52843,45267,46821,42684,41564,43977,36086,52396,43884,43909,67619,55707,56731,43015,41714,36395,45387,1,43363,1,36387,1,58252,46932,51856,43704,47083,46089,,342.145,11.797485,
3E-undecenoic acid,1,257998,211074,137095,268119,239920,209158,226395,198687,193828,179261,140887,134700,161247,154715,133924,159389,1,146032,251648,219395,210055,177442,137633,142863,158749,142948,135910,91118,93329,76992,190531,142859,162370,155982,143262,159018,"3E-undecenoic acid [ C11 H20 O2, db=82.08, overall=41.04, Lipid ID=, KEGG ID= ]",184.146,11.798257,
373.2647@11.811193,1,74852,53588,58778,78615,1,58422,74606,76068,90032,1,1,34181,1,1,1,82811,74918,73234,44876,42816,52181,85341,1,46364,65446,26339,46240,26780,42503,37029,76695,1,1,76222,86883,1,,373.2647,11.811193,
3-Dehydrosphinganine,1,17531,46189,1,68849,1,1,1,15506,90196,15527,23848,1,102725,106485,98264,66681,58935,71559,83531,21899,23301,167942,125006,127398,108614,78348,79946,85465,61772,54100,56630,50541,14800,60876,61446,72604,"3-Dehydrosphinganine [ C18 H37 N O2, db=94.66, overall=47.33, KEGG ID=C02934, CAS ID=16105-69-4 ]",299.2823,11.815419,16105-69-4
251.2249@11.800002,1,97536,106284,99315,102371,95726,93806,101626,94985,96807,116142,106802,107001,116018,103726,112404,103848,97271,94481,116880,94473,102348,108982,94467,101769,98033,86187,99162,89002,97932,99263,105350,100554,1,91006,91492,85979,,251.2249,11.800002,
534.3375@11.806134,1,98375,85211,76530,97845,73374,70291,140309,136377,134034,110845,1,113895,92753,102412,87499,111655,1,1,1,38567,31533,71694,54385,1,56228,54767,44635,38708,1,34423,65779,63951,50621,51333,50311,42695,,534.3375,11.806134,
Cholylglycine + 11.805584,1,654143,571395,423050,633016,591454,504850,1811567,1591997,1590387,1984175,1801233,1714763,541759,512737,504360,531811,504524,501922,670532,582645,573074,829435,644000,636719,656800,525335,546265,33933,26049,41339,184681,152119,171548,508919,521894,512518,"Cholylglycine [ C26 H43 N O6, db=97.59, overall=48.80, KEGG ID=, CAS ID=475-31-0 ]",465.3086,11.805584,475-31-0
429.2878@11.80568,1,21378,18100,1,19961,1,21555,52020,40965,37511,47943,43606,44012,17487,19435,24937,21864,1,16359,21279,1,1,28413,20922,20121,22111,25706,18933,1,1,1,1,1,1,16899,20097,15252,,429.2878,11.80568,
529.3823@11.806334,1,77049,75542,1,62576,69114,60874,109750,107893,120747,104056,102708,94394,82533,86177,124082,88518,88467,91124,48222,1,1,59068,43725,51413,44065,1,1,1,1,35000,51763,1,50625,1,48254,45902,,529.3823,11.806334,
"26,26,26,27,27,27-hexafluoro-1alpha,25-dihydroxy-16,17,23,23,24,24-hexadehydrovitamin D3 / 26,26,26,",1,25639,15148,1,24602,18576,12617,56690,37837,34859,58657,44777,36108,19071,15648,1,16476,14503,13895,17241,14189,13046,27480,17810,1,19717,14802,13120,1,1,1,1,1,1,16078,14877,1,"26,26,26,27,27,27-hexafluoro-1alpha,25-dihydroxy-16,17,23,23,24,24-hexadehydrovitamin D3 / 26,26,26, [ C27 H32 F6 O3, db=61.57, overall=30.78, Lipid ID=LMST03020078, KEGG ID= ]",518.2228,11.805154,
585.3523@11.805889,1,14453,13885,11560,13243,15988,1,41702,39812,40718,45570,43569,44426,12137,12445,1,1,12945,14252,14091,14830,15648,18854,16023,20743,14925,14017,14289,1,1,1,1,1,1,13332,13490,13924,,585.3523,11.805889,
521.2284@11.805668,1,27755,20299,1,27494,17001,14013,54627,39836,33067,53926,43059,38043,18526,17717,1,19604,15168,1,18139,1,1,25522,17852,18428,20059,13371,16185,1,1,1,1,1,1,17644,15132,1,,521.2284,11.805668,
Met His Lys + 11.809854,1,151762,215462,161550,87103,137517,85803,100258,64622,45898,72236,58216,71938,589037,158869,202886,132973,93264,1,118112,107351,114193,59738,70531,110746,55936,102809,97885,151144,88235,109053,1,125106,152699,75260,122016,116489,"Met His Lys [ C17 H30 N6 O4 S, db=78.79, overall=39.40 ]",414.204,11.809854,
Trp Arg Ala + 11.812069,1,49437,66717,51064,32645,42525,29719,1,1,1,23799,1,1,90789,52521,98811,49745,31701,1,44902,31492,36745,53499,26656,29810,26368,24746,27649,39682,18057,1,41848,50418,42715,45349,34288,32399,"Trp Arg Ala [ C20 H29 N7 O4, db=56.36, overall=28.18 ]",431.2309,11.812069,
"6,8,10,12-pentadecatetraenal",1,22602,19343,23728,17470,1,1,21374,26029,22269,1,16276,16150,47950,45611,31440,26127,1,25229,28719,1,26175,23881,25595,29999,25262,29540,25181,19704,17591,19051,28898,17881,24543,26223,31431,30471,"6,8,10,12-pentadecatetraenal [ C15 H22 O, db=57.54, overall=28.77, Lipid ID=, KEGG ID= ]",218.1664,11.82626,
chloroprocaine,1,94370,77461,56124,100683,84109,72563,57653,43946,49854,26485,1,20808,74578,60946,57421,102304,81256,76750,67751,60885,64510,81244,72280,71523,64437,71038,61821,26079,26996,20926,28127,25179,20138,54173,43530,47901,"chloroprocaine [ C13 H19 Cl N2 O2, db=55.52, overall=27.76, KEGG ID=, CAS ID= ]",270.1153,11.829969,
Desmethyl methotrimeprazine 5-sulfoxide,1,102283,93254,72232,111003,109186,93847,75109,58117,55482,23435,18089,19356,68379,81359,58402,115079,86220,94746,78388,71278,68931,83247,75732,72117,83151,74350,68026,28659,32168,18923,1,26848,20029,46821,49641,50894,"Desmethyl methotrimeprazine 5-sulfoxide [ C18 H22 N2 O2 S, db=85.40, overall=42.70, KEGG ID=, CAS ID=16808-77-8 ]",330.1401,11.829573,16808-77-8
3-methyl-nonanoic acid + 11.8296385,1,246604,126042,167923,255689,240783,136466,162006,128092,123089,42495,31932,37138,148304,177041,115770,240812,149891,192470,216084,188355,109378,149957,177167,173789,129088,156969,159411,52563,50754,44200,46789,52049,45110,108709,160642,122814,"3-methyl-nonanoic acid [ C10 H20 O2, db=89.90, overall=44.95, Lipid ID=, KEGG ID= ]",172.146,11.8296385,
Undecylic acid,1,114327,95040,81945,133300,121291,99843,69909,64575,63556,35072,1,31678,92472,85547,88347,117270,110239,115465,99403,91786,92284,108122,93309,89766,97584,91863,93103,40596,39315,32144,35140,35868,27620,63579,63904,60416,"Undecylic acid [ C11 H22 O2, db=83.39, overall=41.70, KEGG ID=, CAS ID= ]",186.1616,11.829715,
431.3031@11.831061,1,79669,71158,53512,58293,50306,40087,67854,59135,63435,80481,70536,68649,58427,51858,63061,51615,51234,44081,121280,100454,100521,118117,89230,88956,61428,53089,53949,1,1,1,39296,26682,1,70264,78462,75476,,431.3031,11.831061,
471.2956@11.832395,1,76329,57843,40100,50803,45887,34548,53631,1,43087,1,1,1,29244,40638,31377,39660,32770,29206,64706,68983,65658,88464,69444,66894,47850,43395,37896,1,1,1,20524,18745,1,59422,52795,48748,,471.2956,11.832395,
308.1988@11.834726,1,72480,60548,111781,57435,36955,62057,44379,18485,28989,32954,26055,1,59043,35352,60997,48856,27364,48615,69822,37454,26740,91840,36747,127889,44636,31144,39473,94200,43147,46703,39925,1,27842,39954,1,36036,,308.1988,11.834726,
355.2544@11.8503895,1,287349,342481,241979,387256,290907,247995,295866,292409,352717,224063,206492,204056,241454,242750,229606,348328,377387,374250,335786,251012,234878,347762,271699,266647,284565,235806,234996,213159,240133,202404,517144,479434,394742,440969,479170,474571,,355.2544,11.8503895,
Nifedipine,1,40036,37457,33544,41788,43043,32471,37229,31579,25607,26906,25734,23286,39448,1,1,37753,39767,34043,32276,33284,27706,28006,35207,31749,37951,32539,28984,32898,29691,1,25040,23489,27089,37185,29540,25251,"Nifedipine [ C17 H18 N2 O6, db=50.63, overall=25.31, KEGG ID=C07266, CAS ID=21829-25-4 ]",346.1188,11.835636,21829-25-4
cyclandelate,1,159650,147869,145274,142213,107711,101223,140892,77746,75587,89040,84956,77634,302561,124107,167637,175627,145730,162944,104578,83776,105292,155118,70216,26640,81276,66801,1,130903,87637,83349,126242,126474,128465,150618,138157,124168,"cyclandelate [ C17 H24 O3, db=63.51, overall=31.75, KEGG ID=, CAS ID=456-59-7 ]",276.1724,11.846942,456-59-7
369.197@11.842227,1,38699,38349,25582,23987,27752,26501,52502,42016,42010,32177,35712,23168,1,28654,24826,39593,40716,40437,38213,35462,30450,36160,26862,29483,39701,23169,29287,20875,23819,19156,43396,42829,44428,32997,31297,30899,,369.197,11.842227,
588.2903@11.855272,1,34637,24368,48426,52490,27605,24723,29127,19632,27646,41552,21868,18518,43346,45660,17906,41037,22143,25597,26614,17548,22151,36659,27811,1,27332,19568,33083,13907,1,1,33279,29191,37300,27667,30482,15943,,588.2903,11.855272,
16-Hydroxy-4-oxoretinoic acid,1,382358,345373,416114,291363,197527,232885,233402,129787,148734,197289,174428,109753,775539,313357,312760,436985,292899,351948,247595,177745,195518,363378,185685,1,197590,173942,138573,323134,188969,126658,260869,249886,248863,346773,272200,249677,"16-Hydroxy-4-oxoretinoic acid [ C20 H26 O4, db=78.37, overall=39.19, KEGG ID=, CAS ID=107257-23-8 ]",330.1805,11.858284,107257-23-8
252.1358@11.86086,1,65173,57145,65074,41147,34928,39033,37167,21245,31116,44430,37743,38366,129064,54830,95753,76880,53819,65162,56522,28035,32692,61733,29338,29709,56771,33247,31345,42417,28920,20922,43578,50651,50697,59776,58221,44921,,252.1358,11.86086,
"8-hydroxy-17-octadecene-9,11-diynoic acid",1,148059,191902,163516,163598,134700,102778,111954,79547,81987,100090,132153,29325,386091,156424,204198,242949,150252,245682,159892,58957,102999,229502,105763,130913,55142,136423,118648,175503,131860,74048,170396,181291,194273,214464,199503,92504,"8-hydroxy-17-octadecene-9,11-diynoic acid [ C18 H26 O3, db=62.31, overall=31.16, Lipid ID=, KEGG ID= ]",290.1884,11.862444,
351.2187@11.864862,1,147477,161851,98215,177832,127569,99966,162559,251914,1,164684,208564,126557,154080,1,140114,1,167410,106335,115369,74132,123688,145475,179400,114989,1,38882,96745,1,1,1,182215,162437,158283,143823,164426,153942,,351.2187,11.864862,
592.3258@11.793964,1,17820,55243,26246,131189,116401,100308,1,403003,1,704453,87308,602901,56079,55612,48415,379205,409023,320117,98378,1,62523,35791,1,26841,15094,48787,47446,1,1,1,112369,95733,102263,86519,64329,76959,,592.3258,11.793964,
309.2302@11.861514,1,260629,562994,474869,589071,522310,505861,152469,453795,235240,531671,267437,235972,436400,98214,304845,90924,507925,323232,128317,495653,496850,165610,403508,194654,1,178546,387157,483260,487365,542078,529414,173838,154026,174558,186068,379020,,309.2302,11.861514,
447.2981@11.879917,1,604705,518457,380518,470075,425803,383649,1140287,941814,1063998,680504,577181,571060,404774,369209,397712,367260,310389,318244,669585,578739,590554,886984,773619,750401,555031,465461,517177,20672,32039,29969,144850,133176,130752,512346,563046,564896,,447.2981,11.879917,
511.3273@11.884157,1,112164,77738,103031,413675,1,41820,80752,47911,1,84018,1,1,403945,139194,325780,611967,241416,327184,226104,44327,102276,343897,283047,232231,340542,384536,56104,236730,65629,27364,187649,162672,41026,578835,462140,336726,,511.3273,11.884157,
280.1649@11.8923235,1,98004,72619,72346,79458,65556,72046,82688,77085,39520,49628,58332,46779,59924,61967,39917,47967,80826,61605,70818,81029,70016,81589,68749,72715,67874,57712,62470,24933,30720,1,47165,38220,1,46908,53800,48765,,280.1649,11.8923235,
705.4871@11.893938,1,84174,85995,64523,74014,73761,68268,119881,117574,133187,108521,120743,117131,96887,113388,157250,99603,104320,114487,45097,35639,40123,1,46350,46060,40572,35736,1,31358,1,33750,1,44925,50053,1,47000,45112,,705.4871,11.893938,
Penbutolol,1,301177,241345,1,250101,208574,302597,274129,315525,233469,293072,303690,1,257717,1,284855,293540,325136,182782,230171,193949,229659,61019,216799,224254,296753,231901,212378,259643,1,241204,1,260822,257131,266806,269165,1,"Penbutolol [ C18 H29 N O2, db=57.95, overall=28.98, KEGG ID=C07416, CAS ID=38363-40-5 ]",291.2176,11.896868,38363-40-5
688.4606@11.89371,1,29948,134777,1,20792,116435,108061,255806,216395,217789,202669,198574,196344,172053,176024,130199,171106,161688,168269,1,1,1,1,1,70791,66601,1,1,36190,1,43243,79502,1,74414,1,1,61903,,688.4606,11.89371,
267.2197@11.913969,1,695618,638442,670893,664917,641022,653891,668035,531551,624268,695220,365037,671243,659253,582047,609928,685901,655212,609005,677559,640585,599270,610773,650386,600125,674298,632904,599123,632547,353836,523734,647372,621847,616464,635288,633586,613617,,267.2197,11.913969,
394.2926@11.915362,1,183491,202248,143384,148005,137092,125456,245394,220574,219802,200026,187592,192724,179149,195315,162361,187207,177720,183135,144897,150495,157954,77447,178920,181134,178694,40185,152688,97645,121684,108429,193467,156658,160102,172592,177872,172679,,394.2926,11.915362,
251.2248@11.917944,1,267169,265856,246462,264689,254981,245774,273396,243559,218909,296522,267423,249486,279045,251615,276037,261014,259196,253295,247601,241693,230277,270542,273823,247164,271493,250343,221888,265472,249251,223415,254355,207484,251024,250905,254995,242505,,251.2248,11.917944,
411.3194@11.915528,1,89958,91943,68705,69253,69759,59444,114833,119129,121825,103106,82907,97853,89122,97595,140650,82548,89360,93501,88031,70706,84224,111527,90631,95012,89299,72109,85268,50414,66238,58106,92496,75802,89629,89990,100889,93630,,411.3194,11.915528,
256.219@11.924389,1,87597,85790,60241,74297,68433,65707,86112,84096,72020,66062,55569,53323,66931,73073,72007,56323,73231,68597,77845,62020,71042,108889,85213,96314,78492,73443,85648,53282,58659,54409,67985,59112,62318,82312,79666,82859,,256.219,11.924389,
610.2709@11.924807,1,41378,1,23956,31263,26118,21154,40422,27689,25878,1,21370,17601,30179,22870,23087,30966,26822,1,25427,22371,22777,34893,30956,30766,31277,26244,27007,18017,18445,15863,1,21030,21092,1,27330,23457,,610.2709,11.924807,
534.281@11.92525,1,104180,95077,70483,88614,67319,67424,85858,84514,89279,66980,61689,57906,76873,67050,67085,76451,67801,72125,77111,67010,67226,115582,88582,83725,86978,69700,79584,48749,53096,48735,70074,63594,68823,72987,76552,80060,,534.281,11.92525,
451.3145@11.934751,1,34441,21680,22420,26732,25133,29805,28536,26775,28314,30340,24630,27347,23390,26701,33511,29588,24874,29180,28817,26309,34282,25542,25708,26112,29052,25134,27438,24079,23078,27090,24414,22982,26515,25961,25588,25556,,451.3145,11.934751,
Methyl jasmonate,1,71008,40698,35827,49329,1,1,49142,44323,47248,37775,37342,1,32975,1,1,49613,43214,42816,127829,121063,109502,60763,43373,41602,43933,28114,46926,1,1,1,1,64775,70351,51216,53019,40927,"Methyl jasmonate [ C13 H20 O3, db=49.28, overall=24.64, KEGG ID=C11512, CAS ID=1211-29-6 ]",224.1408,11.931854,1211-29-6
456.2698@11.934423,1,67062,44493,53818,62755,40442,58846,49464,73365,58856,53829,1,49972,63602,1,42686,62447,39296,1,45366,1,42914,1,1,45910,1,1,45951,55366,1,1,44157,49345,44916,48551,50142,44855,,456.2698,11.934423,
572.3308@11.924665,1,16381,18313,1,11504,17713,14593,16662,16632,20811,1,1,9509,16061,15371,15458,16379,15559,20110,15406,14449,16094,22153,20798,22092,20455,18522,18609,1,1,1,14715,11760,14360,18617,19156,18469,,572.3308,11.924665,
428.2149@11.942999,1,39002,40207,1,44601,42336,29408,40893,31854,21423,40397,21879,16850,43613,31790,1,39470,28914,1,30597,31488,29646,30761,34375,26137,25081,27568,26970,29283,25503,1,33835,31098,24754,1,1,28003,,428.2149,11.942999,
315.2772@11.940305,1,1821118,1703238,1671674,1787527,1651507,1608602,737118,1618779,1599421,1758789,1630678,1627951,1547620,1383400,1464176,1700933,1605571,1528251,1728399,1617262,1504955,1655646,1516505,1535174,1709520,1577955,1522999,1617775,1540358,1491918,1621226,1587105,1518707,1602269,1570244,1391597,,315.2772,11.940305,
413.2462@11.94091,1,95076,74737,76451,92947,77727,67198,93852,71886,1,89862,56466,70411,81382,74096,42300,73971,63156,67764,71035,83382,71827,60609,57203,1,67948,61856,44310,82066,53028,67835,62568,66796,76076,59662,69405,49179,,413.2462,11.94091,
(Z)-N-(2-hydroxyethyl)hexadec-7-enamide,1,120275,127407,127259,132908,114131,126471,121052,112320,121599,133381,117716,127782,125310,117548,119742,118747,117847,113335,127794,123609,109686,128284,124718,124804,124594,117738,119050,114750,128785,109489,115657,114481,109524,127648,127764,120686,"(Z)-N-(2-hydroxyethyl)hexadec-7-enamide [ C18 H35 N O2, db=86.94, overall=43.47, KEGG ID=, CAS ID= ]",297.2667,11.941416,
341.2728@11.941767,1,33321,26308,24913,37549,25279,30607,30953,25870,26016,37457,1,20884,27085,25277,1,24542,24627,19207,21838,21111,23081,24969,20426,1,20066,30102,23111,24888,17123,1,24206,1,23470,29383,23167,1,,341.2728,11.941767,
314.0917@11.9444475,1,52223,37406,93850,125639,146664,80972,227087,239612,64360,249118,1,195112,257137,1,1,331297,60006,250105,91681,162262,1,1,157048,70073,121477,132105,223620,449579,1,250645,152931,185113,46755,1,84731,281471,,314.0917,11.9444475,
261.1217@11.955101,1,28402,24508,22212,1,61201,62520,69754,89983,65121,50031,133052,56597,195481,142686,79086,238176,1,81416,143334,73957,127514,1,15167,18542,77391,1,48225,47482,38443,25197,1,27994,1,194589,1,77301,,261.1217,11.955101,
379.2542@11.973425,1,41479,36701,1,51071,23451,39874,30962,32253,35689,1,1,22491,34044,46102,48823,46833,69079,49377,50463,40586,31415,55750,42575,43170,38874,37076,36858,49278,30607,38277,54048,50479,42138,43516,54438,50119,,379.2542,11.973425,
L-Urobilin + 11.96689,1,326990,257054,187543,422166,335671,273532,808393,754231,741385,211602,196964,194769,162626,150223,129056,549037,497568,489572,397001,324764,332650,454521,334258,306751,379328,348053,305860,53749,59413,45747,170074,130848,138058,182451,171271,173550,"L-Urobilin [ C33 H46 N4 O6, db=74.87, overall=37.44, HMP ID=HMDB04159, KEGG ID= ]",594.3415,11.96689,
255.2196@11.968827,1,56433,58115,1,63976,1,1,1,44336,1,52261,62268,1,58632,53649,55956,65417,52133,65717,55398,52036,56825,65582,66338,59931,62543,63365,52233,62288,62633,54445,52088,58706,1,63186,52032,55624,,255.2196,11.968827,
