Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,127/126,127/126 Count,127/126 Variability [%],128/126,128/126 Count,128/126 Variability [%],129/126,129/126 Count,129/126 Variability [%],130/126,130/126 Count,130/126 Variability [%],131/126,131/126 Count,131/126 Variability [%],Score A2,Coverage A2,# Peptides A2,# PSM A2,Score B2,Coverage B2,# Peptides B2,# PSM B2,Score C2,Coverage C2,# Peptides C2,# PSM C2,# AAs,MW [kDa],calc. pI
P12235,ADP/ATP translocase 1,44.3,3,4,12,53,1.003,6;-;8,11.5,0.933,6;-;8,,1.057,6;-;8,0.5,0.962,6;-;8,7.9,1.065,6;-;8,,66.73,35.91,10,24,,,,,82.2,33.22,10,29,298,33,9.76
P12268,Inosine-5'-monophosphate dehydrogenase 2,29.96,6,10,12,36,1.059,14;-;12,7.3,1.123,14;-;12,,1.172,14;-;12,2.9,1.225,14;-;12,6.3,1.153,14;-;12,,65.99,26.46,11,18,,,,,65.34,24.71,11,18,514,55.8,6.9
P12270,Nucleoprotein TPR,24.71,7,52,53,111,1.048,42;-;38,3,1.266,42;-;38,,1.105,42;-;38,1.2,1.27,42;-;38,0.2,1.165,42;-;38,,179.59,20.78,44,59,,,,,150.64,19.17,41,52,2363,267.1,5.02
P12318,Isoform 2 of Low affinity immunoglobulin gamma Fc region receptor II-a,14.87,9,3,4,11,1.148,5;-;3,20.7,0.923,5;-;3,,1.126,5;-;3,11.5,1.105,5;-;3,9.9,1.045,5;-;3,,23.64,14.87,4,7,,,,,15.25,9.81,2,4,316,34.9,6.68
P12429,Annexin A3,48.92,7,16,16,81,1.084,41;-;34,1.5,0.947,41;-;34,,0.946,41;-;34,1.1,1.03,41;-;34,0,0.974,41;-;34,,132.24,48.92,16,44,,,,,107.81,48.92,16,37,323,36.4,5.92
P12524,Isoform 1 of Protein L-Myc-1,1.65,2,1,1,1,1.419,1;-;-,,0.708,1;-;-,,0.717,1;-;-,,0.562,1;-;-,,0.706,1;-;-,,0,1.65,1,1,,,,,,,,,364,40.3,5.66
P12544,Isoform beta of Granzyme A (Fragment),19.18,2,4,5,17,1.117,6;-;6,8.9,1.055,6;-;6,,1.089,6;-;6,7.8,1.144,6;-;6,5.4,1.021,6;-;6,,18.77,14.29,4,8,,,,,23.18,16.73,4,9,245,27.1,9.01
P12724,Eosinophil cationic protein,29.38,1,4,4,15,1.299,9;-;3,5,1.342,9;-;3,,1.37,9;-;3,7.6,1.484,9;-;3,13.3,1.448,9;-;3,,11.54,29.38,4,10,,,,,8.85,29.38,4,5,160,18.4,10.02
P12814,Alpha-actinin-1,80.49,19,1,78,1703,0.924,28;-;25,3.8,0.724,28;-;25,,0.943,28;-;25,2.5,0.752,28;-;25,0.1,0.835,28;-;25,,2938.15,79.04,74,881,,,,,2835.55,73.77,71,822,892,103,5.41
P12814,alpha-actinin-1 isoform a,79.1,21,2,79,1646,1.387,1;-;3,2.2,0.677,1;-;3,,1.002,1;-;3,0.6,0.805,1;-;3,10.5,0.807,1;-;3,,2842.85,77.68,75,852,,,,,2717.02,72.54,72,794,914,105.5,5.41
P12931,Isoform 1 of Proto-oncogene tyrosine-protein kinase Src,39.74,13,13,18,102,0.81,29;-;32,1.1,0.649,29;-;32,,0.825,29;-;32,0.8,0.612,29;-;32,1.7,0.747,29;-;32,,161.38,39.74,18,49,,,,,175.01,36.01,17,53,536,59.8,7.42
P12955,Xaa-Pro dipeptidase,33.87,3,15,15,57,0.916,25;-;20,5.8,1.036,25;-;20,,1.015,25;-;20,1.3,1.026,25;-;20,3.5,1.029,25;-;20,,111.62,27.79,14,32,,,,,86.63,30.02,11,25,493,54.5,6
P12956,X-ray repair cross-complementing protein 6,59.61,6,37,38,262,1.155,116;-;102,2,1.288,116;-;102,,1.076,116;-;102,1.8,1.322,116;-;102,0.5,1.18,116;-;102,,409.35,56.81,33,136,,,,,370.96,51.23,33,126,609,69.8,6.64
P13010,X-ray repair cross-complementing protein 5,60.79,4,34,34,258,1.101,117;-;109,0.3,1.194,117;-;109,,1.076,117;-;109,3,1.166,117;-;109,0.5,1.165,117;-;109,,417.34,55.46,31,134,,,,,429.51,54.51,28,124,732,82.7,5.81
P13073,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",47.93,2,11,11,110,0.972,44;-;45,3.2,0.919,44;-;45,,1.026,44;-;45,0.1,0.971,44;-;45,2,0.979,44;-;45,,162.8,47.93,11,51,,,,,171.51,47.93,10,59,169,19.6,9.51
P13164,Interferon-induced transmembrane protein 1,29.6,6,2,2,3,0.657,1;-;2,15.2,1.07,1;-;2,,1.038,1;-;2,11.5,0.994,1;-;2,15.8,1.136,1;-;2,,4.11,12.8,1,1,,,,,5.36,29.6,2,2,125,14,7.93
P13224,Isoform 1 of Platelet glycoprotein Ib beta chain,26.21,2,5,5,88,0.92,35;-;35,0.1,0.667,35;-;35,,0.875,35;-;35,1.4,0.647,35;-;35,2.8,0.736,34;-;35,,122.57,26.21,5,44,,,,,141.33,19.42,4,44,206,21.7,9.31
P13473,Isoform LAMP-2A of Lysosome-associated membrane glycoprotein 2,5.12,4,2,2,3,4.992,1;-;1,2.2,1.378,1;-;1,,1.258,1;-;1,7.6,2.287,1;-;1,15,1.026,1;-;1,,4.15,5.12,2,2,,,,,4,2.93,1,1,410,44.9,5.63
P13489,Ribonuclease inhibitor,71.58,5,25,26,177,0.961,73;-;75,0.2,1.102,73;-;75,,1.084,73;-;75,0.8,1.121,73;-;75,0.7,1.039,73;-;75,,303.17,67.25,25,85,,,,,341.03,69.63,24,92,461,49.9,4.82
P13498,Cytochrome b-245 light chain,12.82,1,2,2,18,0.988,7;-;9,8.2,1.195,7;-;9,,1.25,7;-;9,0.6,1.394,7;-;9,1.4,1.189,7;-;9,,26.07,12.82,2,9,,,,,23.23,12.82,2,9,195,20.9,9.58
P13501,C-C motif chemokine 5,40.66,1,5,5,41,0.693,12;-;16,10.2,0.651,12;-;16,,0.898,12;-;16,1.5,0.609,12;-;16,7.4,0.783,12;-;16,,55.46,40.66,5,20,,,,,57.52,40.66,5,21,91,10,9.07
P13591,Isoform 6 of Neural cell adhesion molecule 1,3.02,8,1,1,1,,,,,,,,,,,,,,,,0,3.02,1,1,,,,,,,,,364,40.7,4.78
P13611,Isoform V1 of Versican core protein,4.73,9,10,10,16,1.068,7;-;6,6.6,1.318,7;-;6,,1.387,7;-;6,8.9,1.536,7;-;6,5.7,1.258,7;-;6,,23.66,4.11,9,9,,,,,24.32,3.86,7,7,2409,264.9,4.54
P13612,Integrin alpha-4 precursor,2.02,2,2,2,2,1.052,2;-;-,,1.087,2;-;-,,1.113,2;-;-,,1.141,2;-;-,,1.069,2;-;-,,7.34,2.02,2,2,,,,,,,,,1038,115.3,6.37
P13639,Elongation factor 2,55.48,3,37,40,326,1.044,140;-;135,3.1,1.144,140;-;135,,1.096,140;-;135,0.5,1.212,140;-;135,0.7,1.106,140;-;135,,545.72,53.38,38,164,,,,,558.97,52.21,35,162,858,95.3,6.83
P13645,"Keratin, type I cytoskeletal 10",56.68,36,28,31,187,3.212,76;-;72,8.8,0.863,76;-;72,,1.153,76;-;72,2,1.457,76;-;72,1.8,1.021,76;-;72,,290.4,55.14,29,96,,,,,296.9,54.79,28,91,584,58.8,5.21
P13667,Protein disulfide-isomerase A4,57.21,7,39,40,245,1.064,101;-;93,3.2,0.884,101;-;93,,1.005,101;-;93,0.2,0.893,101;-;93,0.1,0.935,101;-;93,,384.82,55.5,37,127,,,,,333.91,54.73,37,118,645,72.9,5.07
P13671,Complement component 6 precursor,1.17,1,1,1,1,0.934,1;-;-,,0.899,1;-;-,,0.977,1;-;-,,0.845,1;-;-,,0.931,1;-;-,,2.23,1.17,1,1,,,,,,,,,943,105.7,6.79
P13674,"prolyl 4-hydroxylase, alpha I subunit isoform 3 precursor",10.27,3,4,4,6,0.947,3;-;1,2,1.005,3;-;1,,1.05,3;-;1,0.8,0.978,3;-;1,5.6,0.902,3;-;1,,10.68,7.75,3,3,,,,,5.12,4.46,2,3,516,58.9,6.02
P13686,Tartrate-resistant acid phosphatase type 5,3.69,1,1,1,2,1.021,-;-;1,,1.307,-;-;1,,1.294,-;-;1,,1.274,-;-;1,,1.154,-;-;1,,2.53,3.69,1,1,,,,,2.19,3.69,1,1,325,36.6,8.7
P13693,Translationally-controlled tumor protein,31.4,9,8,8,51,0.942,23;-;21,2.7,0.891,23;-;21,,0.958,23;-;21,2.3,0.891,23;-;21,0.5,0.912,23;-;21,,78.09,27.33,7,26,,,,,75.72,31.4,7,25,172,19.6,4.93
P13727,Bone marrow proteoglycan,12.61,2,2,2,5,1.096,3;-;2,23.7,1.359,3;-;2,,1.173,3;-;2,3,1.858,3;-;2,24.7,2.206,3;-;2,,8.34,12.61,2,3,,,,,7.27,12.61,2,2,222,25.2,6.76
P13760,"HLA class II histocompatibility antigen, DRB1-4 beta chain",39.85,12,5,11,53,1.329,6;-;3,0.7,1.186,6;-;3,,1.205,6;-;3,8,1.328,6;-;3,5,1.153,6;-;3,,82.16,39.85,11,29,,,,,74.52,36.84,8,24,266,30.1,7.18
P13762,"HLA class II histocompatibility antigen, DR beta 4 chain",16.17,3,2,3,13,1.098,2;-;1,14.6,1.208,2;-;1,,1.243,2;-;1,19.1,1.43,2;-;1,19,1.035,2;-;1,,24.06,16.17,3,7,,,,,14.23,6.39,2,6,266,29.9,7.33
P13765,"HLA class II histocompatibility antigen, DO beta chain",10.26,11,3,3,3,0.99,2;-;-,,1.274,2;-;-,,1.034,2;-;-,,1.025,2;-;-,,1.459,2;-;-,,9.27,10.26,3,3,,,,,,,,,273,30.8,6.79
P13796,Plastin-2,74.16,4,42,49,588,1.248,205;-;201,3.1,1.283,205;-;201,,1.226,205;-;201,0.2,1.524,205;-;201,3.5,1.21,205;-;201,,917.54,73.21,48,298,,,,,873.23,69.06,42,290,627,70.2,5.33
P13797,Plastin-3,25.4,31,9,16,85,0.912,4;-;6,0.3,0.675,4;-;6,,0.829,4;-;6,0.5,0.61,4;-;6,8.4,0.76,4;-;6,,121.84,20.16,12,42,,,,,125.89,18.25,12,43,630,70.8,5.6
P13798,Acylamino-acid-releasing enzyme,38.25,13,19,19,71,1.073,25;-;26,3.1,0.955,25;-;26,,1.034,25;-;26,5.4,0.943,25;-;26,2.3,0.985,25;-;26,,140.23,32.92,17,40,,,,,127.18,36.07,17,31,732,81.2,5.48
P13804,"Electron transfer flavoprotein subunit alpha, mitochondrial",40.54,3,11,11,66,0.934,27;-;26,4,0.958,27;-;26,,1.009,27;-;26,2.3,0.966,27;-;26,2.7,0.959,27;-;26,,99.35,38.44,10,32,,,,,108.83,40.54,11,34,333,35.1,8.38
P13807,"glycogen [starch] synthase, muscle isoform 2",14.26,4,7,7,15,0.979,8;-;6,3.4,0.938,8;-;6,,0.956,8;-;6,1.2,0.883,8;-;6,9.1,0.983,8;-;6,,30.63,14.26,7,9,,,,,22.78,10.55,5,6,673,76.4,6.54
P13861,cAMP-dependent protein kinase type II-alpha regulatory subunit,48.02,8,15,16,53,1.036,16;-;18,3.9,0.996,16;-;18,,0.97,16;-;18,2.7,0.95,16;-;18,1.8,0.989,16;-;18,,85.21,48.02,16,28,,,,,74.72,48.02,16,25,404,45.5,5.07
P13984,General transcription factor IIF subunit 2,5.22,1,1,1,1,1.032,1;-;-,,0.915,1;-;-,,0.893,1;-;-,,0.849,1;-;-,,0.964,1;-;-,,3.27,5.22,1,1,,,,,,,,,249,28.4,9.23
P13987,CD59 glycoprotein,25,1,3,3,7,0.77,3;-;2,10.3,0.889,3;-;2,,0.935,3;-;2,9.4,0.866,3;-;2,8.6,0.935,3;-;2,,14.46,25,3,4,,,,,10.09,15.63,2,3,128,14.2,6.48
P14151,selectin L precursor,14.29,1,4,4,10,0.952,4;-;3,7.9,1.263,4;-;3,,0.927,4;-;3,9,1.068,4;-;3,0.2,1.11,4;-;3,,20.63,14.29,4,6,,,,,14.54,9.61,3,4,385,43.6,7.15
P14174,Macrophage migration inhibitory factor,32.17,1,3,3,7,1.52,2;-;3,20.1,1.016,2;-;3,,0.997,2;-;3,17.5,1.068,2;-;3,17.9,0.967,2;-;3,,6.85,13.91,2,3,,,,,7.97,32.17,3,4,115,12.5,7.88
P14209,CD99 antigen isoform b precursor,16.57,2,3,3,10,0.882,4;-;2,4.5,0.884,4;-;2,,0.906,4;-;2,0.9,0.745,4;-;2,7.9,0.956,4;-;2,,19.53,16.57,3,6,,,,,14.34,16.57,3,4,169,17.1,4.56
P14222,Perforin-1,19.64,1,8,8,30,1.05,13;-;13,1,1.127,13;-;13,,1.093,13;-;13,9.9,1.011,13;-;13,6.4,0.978,13;-;13,,50.76,16.04,7,15,,,,,51,18.2,7,15,555,61.3,7.83
P14314,glucosidase 2 subunit beta isoform 2,30.1,4,19,19,138,0.96,62;-;55,0.1,0.908,62;-;55,,1.037,62;-;55,0.6,0.955,62;-;55,0.1,0.956,62;-;55,,210.85,30.1,19,71,,,,,191.98,28.76,17,67,525,59.1,4.42
P14317,Hematopoietic lineage cell-specific protein,50.41,5,28,28,226,0.876,92;-;99,2,1.233,92;-;99,,0.985,92;-;99,2.2,1.183,92;-;99,1.7,1.084,92;-;99,,342.41,50.41,28,112,,,,,369.24,49.79,26,114,486,54,4.81
P14324,farnesyl pyrophosphate synthase isoform b,16.43,5,6,6,24,0.982,7;-;12,3.5,0.87,7;-;12,,0.959,7;-;12,0.2,0.86,7;-;12,0.6,0.91,7;-;12,,29.14,16.43,6,11,,,,,37.43,13.88,5,13,353,40.5,5.17
P14543,Isoform 1 of Nidogen-1,35.77,3,31,32,99,0.906,33;-;35,8.1,0.713,34;-;35,,0.863,34;-;35,1.9,0.717,34;-;35,3.4,0.84,34;-;35,,171.88,34.48,29,51,,,,,166.62,27.99,27,48,1247,136.3,5.29
P14550,Alcohol dehydrogenase [NADP+],39.69,2,11,11,44,1.042,17;-;17,2.7,1.111,17;-;17,,1.043,17;-;17,4.6,1.165,17;-;17,4,1.11,17;-;17,,81.04,39.69,11,24,,,,,67.1,37.23,10,20,325,36.5,6.79
P14598,Isoform 1 of Neutrophil cytosol factor 1,31.54,9,1,10,53,0.993,3;-;6,6.2,1.372,3;-;6,,1.452,3;-;6,8.3,1.999,3;-;6,2.5,1.136,3;-;6,,89.36,27.44,9,25,,,,,79.34,29.23,9,28,390,44.7,9.04
P14618,Isoform M2 of Pyruvate kinase isozymes M1/M2,75.14,17,5,46,1204,1.185,101;-;108,9.3,0.915,102;-;108,,1.092,102;-;108,1.9,1.122,100;-;108,3.8,0.983,100;-;108,,1898.96,75.14,46,606,,,,,1895.35,74.39,45,598,531,57.9,7.84
P14618,Isoform M1 of Pyruvate kinase isozymes M1/M2,68.74,18,2,43,997,0.898,6;-;5,5.5,0.767,6;-;5,,0.817,6;-;5,0.9,0.756,6;-;5,0,0.777,6;-;5,,1567.68,68.74,43,507,,,,,1500.99,67.98,42,490,531,58,7.71
P14621,Acylphosphatase-2,11.81,3,2,2,3,0.881,2;-;1,1.7,0.809,2;-;1,,0.855,2;-;1,3.9,0.665,2;-;1,10.2,0.895,2;-;1,,6.21,11.81,2,2,,,,,2.58,5.51,1,1,127,13.9,9.8
P14625,Endoplasmin,55.04,5,45,47,486,0.972,203;-;198,3.4,0.844,203;-;198,,0.996,203;-;198,1.1,0.881,203;-;198,0.8,0.915,203;-;198,,739.15,53.55,44,242,,,,,767.08,53.8,44,244,803,92.4,4.84
P14649,Myosin light chain 6B,15.38,3,1,3,80,,,,,,,,,,,,,,,,118.57,11.54,2,41,,,,,109.43,15.38,3,39,208,22.7,5.73
P14678,Isoform SM-B of Small nuclear ribonucleoprotein-associated proteins B and B',28.57,9,8,8,26,1.171,10;-;11,2.1,1.202,10;-;11,,1.147,10;-;11,1.7,1.303,10;-;11,3,1.155,10;-;11,,35.88,25.11,6,13,,,,,35.93,28.57,8,13,231,23.6,10.9
P14735,Insulin-degrading enzyme,8.93,3,7,7,12,1.137,5;-;5,7.7,0.93,5;-;5,,0.995,5;-;5,11.3,0.985,5;-;5,1.4,0.956,5;-;5,,23.56,8.93,7,7,,,,,8.48,6.38,5,5,1019,117.9,6.61
P14770,Platelet glycoprotein IX,35.59,1,7,7,60,0.811,19;-;23,8.7,0.687,19;-;23,,0.889,19;-;23,0.8,0.818,19;-;23,6.1,0.723,19;-;23,,82.1,35.59,7,26,,,,,100.03,35.59,7,34,177,19,6.34
P14780,Matrix metalloproteinase-9,11.88,2,6,6,8,1.764,2;-;2,13.8,2.639,2;-;2,,1.832,2;-;2,14.3,3.446,2;-;2,0.2,1.623,2;-;2,,13.12,9.48,4,4,,,,,11.62,6.79,4,4,707,78.4,6.06
P14859,"Isoform 4 of POU domain, class 2, transcription factor 1",4.44,6,2,2,4,1.182,1;-;1,13.6,1.398,1;-;1,,1.253,1;-;1,11.8,1.393,1;-;1,9.5,1.253,1;-;1,,8.43,4.44,2,2,,,,,7.88,4.44,2,2,653,68.1,7.12
P14866,Heterogeneous nuclear ribonucleoprotein L,59.25,6,20,21,104,0.972,44;-;43,4.4,1.14,44;-;43,,1.102,44;-;43,0.9,1.141,44;-;43,2.4,1.155,44;-;43,,180.46,53.31,20,56,,,,,154.09,44.82,17,48,589,64.1,8.22
P14868,"Aspartyl-tRNA synthetase, cytoplasmic",53.09,15,24,25,101,0.984,43;-;32,4.6,0.888,43;-;32,,0.973,43;-;32,0.9,0.896,43;-;32,2.9,0.933,43;-;32,,187.27,51.3,24,57,,,,,138.51,42.51,19,44,501,57.1,6.55
P14921,protein C-ets-1 isoform 3,4,4,1,1,1,1.002,1;-;-,,1.289,1;-;-,,0.978,1;-;-,,1.057,1;-;-,,1.197,1;-;-,,3.2,4,1,1,,,,,,,,,225,25.7,6.8
P14927,Cytochrome b-c1 complex subunit 7,49.55,4,8,8,48,1.041,25;-;20,3.3,0.931,25;-;20,,0.925,25;-;20,1.1,0.905,25;-;20,1.2,0.946,25;-;20,,97.85,49.55,8,26,,,,,73.66,49.55,8,22,111,13.5,8.78
P15104,Glutamine synthetase,6.7,1,2,2,3,1.095,1;-;1,11.8,1.052,1;-;1,,1.034,1;-;1,0.5,0.997,1;-;1,3.9,0.988,1;-;1,,6.35,6.7,2,2,,,,,3.5,2.14,1,1,373,42,6.89
P15121,Aldose reductase,70.25,7,16,16,69,0.998,30;-;24,6.2,1.075,30;-;24,,0.94,30;-;24,0.8,1.03,30;-;24,0.2,1.066,30;-;24,,126.29,59.18,15,37,,,,,112.86,53.8,13,32,316,35.8,6.98
P15144,Aminopeptidase N,14.79,1,8,9,20,1.214,10;-;6,16.3,1.313,10;-;6,,1.318,10;-;6,7.8,1.559,10;-;6,4.6,1.215,10;-;6,,34.71,14.79,9,11,,,,,23.82,10.65,6,9,967,109.5,5.48
P15170,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,37.07,4,18,18,39,0.967,19;-;13,1.8,0.884,19;-;13,,0.919,19;-;13,1.4,0.861,19;-;13,3.8,0.902,19;-;13,,79.42,37.07,18,24,,,,,50.93,20.84,8,15,499,55.7,5.62
P15289,arylsulfatase A isoform b,7.33,4,2,2,5,1.054,3;-;2,4.4,1.038,3;-;2,,1.087,3;-;2,8.5,1.09,3;-;2,12.1,1.133,3;-;2,,10.76,7.33,2,3,,,,,7.65,4.02,1,2,423,44.9,5.87
P15291,"Isoform Short of Beta-1,4-galactosyltransferase 1",3.38,2,2,2,2,0.917,2;-;-,,0.859,2;-;-,,0.882,2;-;-,,0.751,2;-;-,,0.896,2;-;-,,5.14,3.38,2,2,,,,,,,,,385,42.5,8.5
P15311,Ezrin,66.38,5,36,48,372,0.995,102;-;82,1.2,1.229,102;-;82,,1.048,102;-;82,0.9,1.262,102;-;82,4.6,1.179,102;-;82,,574.16,65.19,45,193,,,,,533.55,63.99,43,179,586,69.4,6.27
P15374,Ubiquitin carboxyl-terminal hydrolase isozyme L3,33.48,2,7,8,17,0.955,8;-;8,1.2,0.94,8;-;8,,1.011,8;-;8,2.5,0.863,8;-;8,0.8,0.981,8;-;8,,26.72,22.61,6,9,,,,,25.28,33.48,7,8,230,26.2,4.92
P15391,B-lymphocyte antigen CD19,1.44,1,1,1,2,1.102,1;-;1,4.7,1.144,1;-;1,,0.827,1;-;1,5.9,1.31,1;-;1,5.9,1.138,1;-;1,,2.74,1.44,1,1,,,,,2.82,1.44,1,1,556,61.1,4.98
P15498,Proto-oncogene vav,20.59,5,21,21,61,1.001,22;-;17,0.6,0.946,22;-;17,,0.944,22;-;17,1.2,0.891,22;-;17,1.2,0.937,22;-;17,,78.63,20.59,21,34,,,,,64.28,18.11,18,27,845,98.3,6.62
P15509,Isoform 6 of Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,10.73,11,2,2,2,1.067,1;-;-,,1.183,1;-;-,,1.361,1;-;-,,1.273,1;-;-,,1.108,1;-;-,,2.81,4.72,1,1,,,,,2.11,6.01,1,1,233,26.6,8.53
P15529,Isoform 3 of Membrane cofactor protein,11.31,16,5,5,10,0.696,5;-;1,7,0.832,5;-;1,,0.857,5;-;1,0.7,0.817,5;-;1,0.3,0.878,5;-;1,,18.45,11.31,5,6,,,,,10.02,8.33,3,4,336,36.8,7.65
P15531,Isoform 1 of Nucleoside diphosphate kinase A,55.92,5,2,7,49,1.189,6;-;6,12,0.915,6;-;6,,0.966,6;-;6,2.6,0.989,6;-;6,4,0.899,6;-;6,,69.55,55.26,6,25,,,,,74.5,55.92,7,24,152,17.1,6.19
P15586,N-acetylglucosamine-6-sulfatase,9.78,2,5,5,10,1.147,5;-;4,9.9,1.177,5;-;4,,1.301,5;-;4,2.3,1.374,5;-;4,6.5,1.095,5;-;4,,17.43,9.78,5,5,,,,,15.01,7.61,4,5,552,62,8.31
P15848,Arylsulfatase B,5.44,2,2,2,3,1.364,1;-;-,,1.151,1;-;-,,1.284,1;-;-,,1.332,1;-;-,,1.1,1;-;-,,4.62,3.56,1,1,,,,,6.87,5.44,2,2,533,59.6,8.21
P15880,40S ribosomal protein S2,45.05,11,14,15,47,1.099,21;-;18,2.2,1.23,21;-;18,,1.086,21;-;18,0.4,1.323,21;-;18,1.6,1.18,21;-;18,,73.99,42.66,13,24,,,,,56.5,33.11,12,23,293,31.3,10.24
P15927,Isoform 1 of Replication protein A 32 kDa subunit,30,5,6,6,12,1.152,5;-;4,1.1,1.113,5;-;4,,0.995,5;-;4,2.6,1.062,5;-;4,3,1.081,5;-;4,,18.33,30,6,7,,,,,14.55,24.07,5,5,270,29.2,6.15
P16104,Histone H2A.x,58.04,1,7,12,332,1.701,12;-;7,47.3,1.335,12;-;7,,1.265,12;-;7,27.6,1.688,12;-;7,40.9,1.213,12;-;7,,375.97,58.04,12,174,,,,,369.88,57.34,10,158,143,15.1,10.74
P16150,Leukosialin,5.5,2,2,2,12,1.389,3;-;2,10.3,1.17,3;-;2,,1.048,3;-;2,4.7,1.142,3;-;2,4.5,1.086,3;-;2,,24.83,5.5,2,8,,,,,13.73,5.5,2,4,400,40.3,5.1
P16152,Carbonyl reductase [NADPH] 1,49.46,3,9,12,74,0.946,27;-;20,1.9,0.939,27;-;20,,1.011,27;-;20,2.8,0.984,27;-;20,1.4,0.985,27;-;20,,134.88,49.46,12,42,,,,,108.81,38.99,8,32,277,30.4,8.32
P16157,Isoform Er16 of Ankyrin-1,17.18,17,20,20,34,1.06,16;-;12,4.6,0.822,16;-;12,,0.92,16;-;12,2,0.629,16;-;12,4,0.9,16;-;12,,51.3,13.03,15,18,,,,,50.46,12.11,14,16,1519,166.4,7.27
P16190,"HLA class I histocompatibility antigen, A-33 alpha chain",30.41,14,0,8,106,,,,,,,,,,,,,,,,160.85,27.67,7,49,,,,,198.25,30.41,8,57,365,40.9,6.7
P16220,CREB,10,23,1,2,5,0.97,-;-;1,,1.076,-;-;1,,0.976,-;-;1,,0.829,-;-;1,,1.029,-;-;1,,7.09,10,2,2,,,,,10,10,2,3,230,25.4,5.54
P16278,Isoform 2 of Beta-galactosidase,4.21,9,2,2,7,1.054,3;-;3,3.6,0.949,3;-;3,,1.168,3;-;3,3.7,1.08,3;-;3,6,1.021,3;-;3,,7.46,4.21,2,3,,,,,12.7,4.21,2,4,546,60.5,6.99
P16284,Isoform Delta13 of Platelet endothelial cell adhesion molecule,43.38,9,19,26,201,0.875,50;-;45,0.5,0.684,50;-;45,,0.857,50;-;45,0.2,0.639,50;-;45,4.5,0.77,50;-;45,,348.37,43.38,26,103,,,,,330.32,42.54,25,98,717,80.2,7.33
P16298,Isoform 1 of Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform,20.42,7,5,11,36,0.996,7;-;7,0.7,0.976,7;-;7,,0.976,7;-;7,1.2,0.912,7;-;7,1.8,0.946,7;-;7,,62.82,20.42,11,20,,,,,52.97,17.37,9,16,524,59,5.91
P16333,Cytoplasmic protein NCK1,20.42,8,6,6,12,1.047,7;-;4,1.4,0.865,7;-;4,,0.878,7;-;4,2.9,0.787,7;-;4,10,0.841,7;-;4,,23.9,20.42,6,7,,,,,17.26,17.51,5,5,377,42.8,6.47
P16383,Isoform 2 of GC-rich sequence DNA-binding factor,1.48,2,1,1,2,,,,,,,,,,,,,,,,2.22,1.48,1,1,,,,,1.86,1.48,1,1,743,84.8,6.2
P16401,Histone H1.5,46.9,2,9,16,245,1.171,36;-;32,1.5,1.355,36;-;32,,1.236,36;-;32,5,1.426,36;-;32,4.8,1.208,36;-;32,,300.37,46.9,16,132,,,,,272.01,41.15,13,113,226,22.6,10.92
P16402,Histone H1.3,53.85,3,9,21,408,1.099,26;-;23,1.6,1.253,26;-;23,,0.916,26;-;23,0.3,1.136,26;-;23,1.1,1.116,26;-;23,,529.91,48.87,20,217,,,,,520.93,50.68,20,191,221,22.3,11.02
P16403,Histone H1.2,48.36,3,4,17,438,1.182,13;-;12,5.7,1.318,13;-;12,,1.074,13;-;12,3,1.289,13;-;12,12.2,1.175,13;-;12,,560.78,48.36,17,235,,,,,541.76,48.36,17,203,213,21.4,10.93
P16435,NADPH--cytochrome P450 reductase,28.51,16,13,13,36,1.099,16;-;13,2.7,1.073,16;-;13,,1.117,16;-;13,5.5,1.226,16;-;13,7.1,1.051,16;-;13,,68.55,25.26,11,20,,,,,55.61,20.38,8,16,677,76.6,5.58
P16591,Tyrosine-protein kinase Fer,2.43,1,1,1,1,0.896,1;-;-,,0.713,1;-;-,,0.914,1;-;-,,0.629,1;-;-,,0.863,1;-;-,,4.59,2.43,1,1,,,,,,,,,822,94.6,7.14
P16615,Isoform 1 of Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,40.5,5,32,42,285,0.875,72;-;77,1,0.729,72;-;77,,0.933,72;-;77,1.6,0.718,72;-;77,1.7,0.805,72;-;77,,451.67,38.96,39,147,,,,,430.73,38,39,138,1042,114.7,5.34
P16671,Platelet glycoprotein 4,24.15,7,10,10,88,0.979,38;-;38,9.1,0.705,38;-;38,,0.946,38;-;38,0.5,0.714,38;-;38,2.1,0.696,38;-;38,,132.97,22.88,9,45,,,,,142.92,24.15,10,43,472,53,7.96
P16885,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma-2",35.49,1,33,34,81,0.99,35;-;25,2,0.937,35;-;25,,1.051,35;-;25,2.7,0.944,35;-;25,0.8,0.975,35;-;25,,150.49,31.46,31,46,,,,,111.3,24.58,22,35,1265,147.8,6.64
P16930,Fumarylacetoacetase,16.95,4,7,7,18,0.881,7;-;5,0.9,0.771,7;-;5,,0.952,7;-;5,0.5,0.783,7;-;5,6.2,0.817,7;-;5,,26.72,16.95,7,10,,,,,22.25,14.08,6,8,419,46.3,6.95
